,Text
87,"RT @KapilMishra_IND: So SWIFT = NATO ?

META, Google Pay, Banking platforms, Social media platforms everything is just a weapon in the war…"
88,@tantannie0613 Kak bgusa war lwat app atw app ya?
89,RT @tiannathewriter: Sorry but the irresponsible nature of airing this? Knowing we already have a problem with young people being groomed o…
90,"The Presidents of Russia and Belarus have taken their respective countries into a war the people of these nations clearly did not want.
Rogue dictatorial governments are dangerous for their people.
Boris Johnson is Prime Minister."
91,RT @ananavarro: Vladimir Putin is a war criminal and a monster.
92,"RT @Anna_Soubry: I don’t see how we can stand by &amp; allow #Putin to bomb civilians. To commit blatant war crimes - murdering people. 

#Puti…"
93,RT @thisisludotwee1: R.I.P. WAR https://t.co/7nu2MAAj16
94,RT @ThePubliusUSA: Russia killed 16 children yesterday in its senseless and unjustified war against Ukraine. Vladimir Putin is a monster.
95,"RT @Dominic2306: A No Fly Zone enforced by NATO is an act of war that could *easily start A NUCLEAR WAR*. 
It is INSANE &amp; coming from many…"
96,RT @Mugaka_N: AU slams ‘racism’ in the wake of Ukraine war https://t.co/DFTrTIvoII via @The_EastAfrican
97,"RT @DrJillStein: Russia puts nukes on high alert. Foreign policy experts have long warned of the danger of trying to expand NATO, but the w…"
98,RT @nvr4get911Fdny: @ChrisMurphyCT PLEASE READ. If U Google restaurants in Moscow and leave a review. We can talk to the Russian people dir…
99,RT @CURTCABLE86: @HarrisonRealT Lightskin dudes in the war https://t.co/CZbxJcAmXM
100,"RT @carlquintanilla: “The calamity of Russia’s war in Ukraine has put an end to international financial investing in Russia.” 

(via ⁦@busi…"
101,@SdoggaMan @Respawn Yeah man didn’t think the war is ending in a week!
102,"RT @JackyKemigisa: At any chance, you get, remind your viewers of the location 📍 because Europe isn't any Third World country to experience…"
103,RT @MaxAbrahms: Ukraine is becoming a bigger and bigger NATO-Russia proxy war.
104,RT @maciekzwwa: Mocny materiał #wojna #Ukrainian #war https://t.co/F2Lnf4jzZk
105,"RT @RnaudBertrand: The first one is George Kennan, arguably America's greatest ever foreign policy strategist, the architect of the U.S. co…"
106,"RT @FedorovMykhailo: Joint forces of Ukrainian music industry, @mintsyfra and Slukh media appeal to the @AppleMusic and @Spotify leadership…"
107,"RT @MarkDittli: Very insightful thoughts by Fiona Hill on Putin. Highly recommended 
https://t.co/sB6JjYKW8A via @politico"
108,RT @christogrozev: Ukraine's media savvy authorities appear to spend enough attention to keeping Ukraine's civilian population motivated an…
109,"RT @MichalMoch87: Mija 123 godzina wojny na Ukrainie. 

Na zdjęciu nowonarodzeni bracia bliźniacy śpią w piwnicy w schronie przeciwbombowym…"
110,"RT @KofiEkyirKwakoh: This is not done by #Putin.
This is not #Ukraine. 
This is #Palestine 
This is done by #isreal on the support of the W…"
111,RT @DmytroKuleba: Barbaric Russian missile strikes on the central Freedom Square and residential districts of Kharkiv. Putin is unable to b…
112,RT @Swiftpfote: @PaulNiland @StopFakingNews And thus he told us we are a legitimate aim in Putin’s war against the world. I say it again: t…
113,"What's happening in Ukraine is beyond awful, but a no-fly zone policed by NATO would lead to a direct confrontation between the alliance and Russia. 

The first duty of our government is to protect us, its own citizens, not drag us into world war three as terrible as it is."
114,RT @joynarakmak: น้องเยมสุดมากอะ คอลเอ้าทุกสถานการณ์ของโลกเลย ตั้งแต่LGBTQ+ BLM ล่าสุดลงรูปที่นักกีฬาเทนนิสของรัสเซียเขียนลงบนกล้องว่าNo Wa…
115,RT @Reuters: The moment dozens of diplomats from the European Union and United States walked out of a speech by Russian Foreign Minister Se…
116,RT @OnMackNem: Me in Ukraine after getting drafted into the war https://t.co/FtudqehoZf
117,I went to school with mostly Soviet Jews from 3rd to 8th grade. Watching war videos is bringing back memories of all the swear words I learned.
118,"RT @felipebruce: Ucranianos comemoram 2 helicopteros abatidos perto de Kiev.
#RussiaUkraineConflict #Russia #UcraniaRussia #Ukraine #Ukrain…"
119,RT @tariqnasheed: Are we supposed to keep  #StandingWithUkraine even tho they are practicing open anti-Black racism in the middle of a war…
120,"RT @ChimdimmaIke: You must be deluded to only want a patriarchal state to suddenly turn equitable at onset of wars.

You curse feminism and…"
121,"RT @ManonCreativeM: War reporter live on tv saying the Donbass situation has been on for 8 years now. 13000 deaths in 8 years, the ukranian…"
122,"@OwenJones84 The war in Ukraine didn't start 5 days ago.

It started in 2014 when the democratically elected Ukrainian government was overthrown by Obama in an illegal coup and replaced with an anti-Russian regime that would go on to commit daily war crimes against ethnic Russians in Donbass."
123,"RT @KiKiPosting: “The day the power of love overrules the love of power, the world will know peace.” 
―Mahatma Gandhi

#war #UkraineConflic…"
124,RT @AthertonKD: A fun quirk of history is this man almost sparked a shooting war with Russia over an airport in Kosovo in 1999 and James Bl…
125,"RT @jacquep: Dear @PreetKGillMP

Some say there is little difference between Labour and the Tories.

On this it appears they are right.

Th…"
126,RT @Alexand3rTheMeh: This whole fucking war is senseless and killing innocent people who don't deserve it. We got here because Oligarchs in…
127,"RT @JesseRodriguez: THE HAGUE, Netherlands (AP) -- The chief prosecutor of the International Criminal Court said Monday he plans to open an…"
128,"RT @IAPonomarenko: It looks like Belarusian military has finally joined Putin’s war.
Not surprising at all, but this is so sorry to see."
129,"Russian invasion escalates as massive convoy threatens Kyiv, Kharkiv ‘surrounded’ https://t.co/pgON7iydtv"
130,"RT @dmuthuk: In a war zone, rescue operations is most difficult. Hope Indian students come back safe. Already one precious life has been lo…"
131,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
132,RT @aurelmertz: Jetzt wo Gerhard Schröder sich in der aktuellen Krise weiter blamiert muss man echt nochmal hinterfragen ob die Agenda 2010…
133,RT @ZambeziOutpost: You would think only one war has ever been fought in history
134,"RT @LewisFeilder: The Foreign Secretary is currently addressing the UN Human Rights Council, where she is condemning Russia's flagrant abus…"
135,"RT @olehbatkovych: first pic circled text:
- how r u? Do you know anything about ukrainians? there are rumors that war will start 16th
- ye…"
136,Hildegard 🥰heute früh war sie wieder da. https://t.co/5g34ZVW8dQ
137,"RT @BBlues60: So the one that is on sky news that wants to fight in the war he is another crisis actor, he is a model and he is modelling f…"
138,RT @DP_UA1972: 🇺🇦❤️🇰🇷We are very excited and touched by the letter and the great financial contribution of the famous Korean actress Lee Yo…
139,"@UKRINFORM OperationUkraine 
🇺🇦🇺🇦🇺🇦🇺🇦
2 projects volunteer and run this charity token to help Ukraine during this war time!
Lets do some good with Crypto and help Ukraine rebuild in the fight against Russia!

LAUNCHED at 3 BNB in LP 

4 DONATIONS
$638 USD SENT

TG⬇️
 https://t.co/r38hyF1V3K"
140,@DWPscumbags @ragipsoylu So dead kids make you happy? The interpreter’s reaction was human and justified. This is a war of choice by Putin and is nothing but a series of war crimes by the Russians.
141,RT @chesno_movement: Most Putin's war crimes are done from the air #NoFlyZone https://t.co/DCaLP3LtFR
142,"Killing innocent civilians and foreign national students in the name of war,but ambulances for their own soldiers wah. https://t.co/a75ffKuyzh"
143,"Is Nova gonna comeback in s2

Is there gonna be a war in s2, are someone will turn into stone

Is the calamity would finally come, like, where is the calamity??? Ain't it shouldve been come once a year"
144,"RT @SendelYonas: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential consequ…"
145,RT @Abhina_Prakash: So much for non-stop gyan to keep sports above politics and war 😭
146,So United States is funding the war in Russia by continuing to buy fuel from Russia
147,RT @AdamMilstein: The prosecutor of the International Criminal Court in The Hague announces that he is launching an in investigation into h…
148,"RT @ItsMutai: This report #RacistReportage by Gravitas on WION is the MOST sobering report I have seen on this Ukraine Russia crisis, calli…"
149,RT @MaxAbrahms: Ukraine is becoming a bigger and bigger NATO-Russia proxy war.
150,"RT @TheStarKenya: President Putin should accept Ukraine's ceasefire offer because, even if he instals a friendly government, Russia will st…"
151,"RT @dilancook_: Americans: healthcare to survive a pandemic please

oligarchs: sorry did you say war with Russia?"
152,"@AliceBota Das was in den Medien gestern gezeigt wurde, war es ein anderer Saal mit mehr Leuten am Tisch und ohne Putin."
153,We need de escalation not more war threats and idiocy
154,RT @Iammirzaarif: Gaurav Sawant asking desperate kids to step aside so that he “could do his job” is a telling example of how sold-out medi…
155,@TheDeshBhakt @aajtak What the reporter is saying are facts and truth. Your emotions and state of denial won't change it. It is sad that a life is lost but the truth remains that the advisory to evacuate was issued by MEA a week prior to war.
156,Ya allah beli kerudungan aje war anjir
157,"RT @patrickgaley: “Don’t complain about climate coverage when there’s a war on” seems to be the default explanation here 

As if warning of…"
158,So you expect Boris to declare war on Russia now yes? 🤪 https://t.co/NZW5s6DNXp
159,From blunder to bloodier – The woes of the Russian war machine are big and real. Are they also temporary? https://t.co/SsLI7eB13Q
160,RT @Reuters: CORRECTION: The movement of jailed Russian opposition leader Alexei Navalny called for a campaign of civil disobedience to pro…
161,RT @DanRather: I am reminded again and again that during war the heart is always heavy. Such sadness and misery. Such loss. And this one. T…
162,"RT @Andy_Scollick: Given the Government of Georgia's pro-Russian stance, there's potential for civil unrest and military actions in Georgia…"
163,RT @DrSirera: We are in the real danger of a war declaration of Russia to Poland in 48 hours. Ukraine is losing the war (The war is not the…
164,"RT @dutchessprim: Using war as a “sign of the end times” is another way the church keeps people uninformed.
Why pay attention when you’re p…"
165,"RT @ThaiEnquirer: Outside the Russian embassy in Bangkok, protesters call for an end to Putin’s war of aggression. 

#thailand #ukraine #ยู…"
166,RT @Reuters: CORRECTION: The movement of jailed Russian opposition leader Alexei Navalny called for a campaign of civil disobedience to pro…
167,"RT @carolecadwalla: “NATO is afraid of World War III. But it has already started. And it’s Ukrainian children taking the hit”

Brilliant, i…"
168,@Mariska4Ukraine @CNN Why do we need to stick our noses into another war?
169,"RT @Axumawii: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential consequenc…"
170,@god_121212  おやすみ！桃瀬かみ@ No war！
171,Israel is the largest cumulative recipient of US foreign aid in the post-World War II era. That’s all you have to know https://t.co/pI3JWuOvK4
172,"Zelenski accuses Russia of war crimes and demands harsh reprisals

CONFLICT IN EUROPE

The Ukrainian president calls on all countries to close the sky for Russia and signs a law to exempt international fighters who want to go to Ukraine from visas"
173,"RT @Newsweek: 🔴 Ukrainian President Volodymyr Zelensky addresses European Union lawmakers

🔴 At least 16 children have been killed and 45 i…"
174,"RT @Dominic2306: A No Fly Zone enforced by NATO is an act of war that could *easily start A NUCLEAR WAR*. 
It is INSANE &amp; coming from many…"
175,RT @AlexKokcharov: Troops of #Belarus reportedly entered #Ukraine's Chernihiv region this morning. Lukashenka fully sided with Putin in #Ru…
176,RT @mhmck: Anatoly Antonov is a war criminal sanctioned by the EU and Canada. Although he poses a grave threat to international peace and s…
177,RT @washingtonpost: Ukraine's second-largest city is 'surrounded' as a 40-mile Russian convoy threatens Kyiv. Follow live coverage from jou…
178,"RT @TimesNow: Constantly in touch with MEA, will make all efforts to bring back his mortal remains. Karnataka CM on student's killing

#Put…"
179,"RT @Sir_Schnee: War es bei euch auch so? 😁

#apokalypse https://t.co/iesX7R4p3B"
180,"RT @jeremycorbyn: Nobody wins a war.

War is a defeat for all of us.

https://t.co/683pEtZnFt"
181,"RT @patdiekmann: Das war sicherlich ein Moment, den man in Brüssel nicht alle Tage erlebt. Der ukrainische Präsident #Selenski fordert die…"
182,RT @373news_twit: ウクライナ侵攻 ミニチュアで「NO WAR」　灰色のノートはビル、鉛筆はミサイル　田中達也さん SNSに投稿 https://t.co/8PMgmwpyLA #南日本新聞 #鹿児島
183,"RT @flouqe261041: แยกกันก็ลงสตอรี่รายงานตัวเป็นธรรมดา พออยู่ด้วยกันก็จะเงียบ  
#yinyin_anw @yinyin_anw Yin Anan #warwanarat @warwanarat War…"
184,"RT @thejb_stan: Worth remembering, as people talk about prosecuting people for war crimes, that the US's official position is that if an Am…"
185,que ganas de xogar toda a tarde ao god of war e non facer nada
186,@SanteenaR https://t.co/ROEUUux0vY
187,"RT @YashwantSinha: More than 1,70, 000 Indians were evacuated from Iraq and Kuwait by the Govt of India during the Gulf War of 1990 through…"
188,Always money for war... https://t.co/JmDvp9u1kZ
189,"I can only do my best to help those in need in the world. Don’t ask me who I am, I am you. I will launch a series of artworks and raise funds through NFT to help the families of the victims of the Russian-Ukrainian war. #NoWar #PeaceNotWar #RussianUkrainianWar https://t.co/5dmkbsM85D"
190,"@mbillips @jacktomkovick1 @RadioFreeTom I don’t think it is a tremendous leap, to think that if this war goes on long some outside nations think it is better to withhold their support and supplies in the name of peace. They may consider Russia taking over the Ukraine the sacrifice they make to avoid a bigger war."
191,"RT @KyivIndependent: ⚡️Switzerland adopts EU sanctions, freezes Putin's assets.

Switzerland broke its historically neutral status to adopt…"
192,"@ShakaEmzyman @Yarmolenko_7 They will understand , ukrain will be History soon. 
These guys are taking on Russia with assuming support from West 
West is Waste
Instead of going to War . Have peace plan. Bcz of Ukrainis World at War."
193,RT @AlexKokcharov: Troops of #Belarus reportedly entered #Ukraine's Chernihiv region this morning. Lukashenka fully sided with Putin in #Ru…
194,RT @drqvortrup: #Why is there #War in #Ukraine? Why is #Putin doing this. Yours truly answers are now on @VICEUK via @instagram https://t.c…
195,"RT @AJEnglish: ⚡Russia-Ukraine war updates: 1 March 👇
https://t.co/LereyN6r4O"
196,"6th day of the war - summary:
The Russian army still almost in the same position as during on the first day. No big city were captured yet.
Russian army takes areas in South Eastern part of Ukraine, where no big Ukraine military presence
1/"
197,RT @Rrrrnessa: I think we can stand on the side of Ukraine without glorifying war. It's not actually inspirational at all that elderly peop…
198,"RT @YourAnonNews: While war ravages Ukraine, a 9-year-old girl gets hit in the face with a stun grenade in Palestine.
Humanity, question fo…"
199,"Biden doesn't sanction Russian oil and still imported oil from Russian, oil revenue go to Ukraine war it doesn't make any sense,John Kerry, hope Russian should focus on climate change"
200,"RT @FirstSquawk: NATO'S STOLTENBERG SAYS NATO DOES NOT SEEK CONFLICT WITH RUSSIA, RUSSIA MUST IMMEDIATELY STOP THE WAR"
201,@timburchett @fema Is he wearing a cloth mask in case of nuclear war? 🧐
202,RT @vtbirkenstock: So Congress is going to incur more debt to fund another foreign war in which we borrow the money from China?  Circle of…
203,RT @KareemRifai: Sorry if I don't believe in the outrage against Putin from the very same RT employees who spent years covering up his war…
204,"RT @MFA_Ukraine: Russia is waging war in violation of international humanitarian law. Kills civilians, destroys civilian infrastructure. Ru…"
205,@MayoIsSpicyy Yes two mentally ill men causing all this horrible and deadly war.
206,"It's kind of humbling... Now that Russia's Bot Farms are busy with the war, my Tweets aren't that far off from getting as many likes as Pierre Poilievre's do. 🥴
#CdnPoli #UkraineRussiaWar"
207,"@Frisobotter Damals bei der Heute-Show hab ich schon immer weggeschaltet, wenn er dran war. Unangenehmer Typ, oder sein Witz ist zu hoch für mich.
Ich bin großer Fan des EU-Parlamentes und der Arbeit, die dort geleistet wird. Sein ständiges Verarschen hab ich irgendwie persönlich genommen."
208,"@Ozkok_A We shall see.  Russia stated war objectives: demilitarization, denazification.  Russia can lay siege to Kiev."
209,"RT @washingtonpost: Indian, Algerian students killed in Ukraine; others stranded during Russia’s invasion beg for help 
https://t.co/PYn1pl…"
210,"RT @JohnSimpsonNews: Russia stands accused of using BM-21 Grad cluster-bombs against civilians in Kharkiv.  If so, this is a war crime.  I…"
211,"RT @TomWilke17: Our dear friend and colleague from the Ukrainian Academy of Sciences, Prof. Vitaliy Anistratenko, is currently under heavy…"
212,RT @Scaramucci: Putin is a war criminal.
213,"RT @nightlibrarian: @ProfSunnySingh Extreme potential for war crimes, rather. &gt;.&lt; If these ppl have medical knowledge, sure. Infrastructure…"
214,"RT @davidgilmour: Russian soldiers, stop killing your brothers. There will be no winners in this war.

My daughter-in-law is Ukrainian and…"
215,RT @stillgray: I give it a week before they start saying that anyone who doesn’t support the genocide of Russians is a traitor to humanity.…
216,"@StigAbell Nato is afraid of World War III. 
And rightly so.
A nuclear war will wipe out a lot of children and women from a lot of regions and nations in one go.
Negotiate -  for instance a ceasefire so refugees can get out - is that possible?"
217,"RT @RejiYates: For me timing is everything. 

Does Korrine have a history of mismanagement of funds? Yes 

Does it make people weary about…"
218,"RT @fevenmesay: 482 days into the Genocidal war on #Tigray, the Kunama &amp; Irob people are still suffering disparate and existential conseque…"
219,"RT @NathanHRubin: Following sanctions, Putin has begun referring to his enemy as “the west”.

Not just Ukraine. But all of us, collectively…"
